Edad  ;Hombres;Mujeres
55;258,712212;243,005182
56;255,775386;239,546338
57;252,73826;235,977078
58;249,598775;232,296362
59;246,355;228,506137
60;243,005182;224,60602
61;239,546338;220,596052
62;235,977078;216,47656
63;232,296362;212,248425
64;228,506137;207,912956
65;224,60602;203,471943
66;220,596052;198,927674
67;216,47656;194,283137
68;212,248425;189,541818
69;207,912956;184,707913
70;203,471943;179,786208
71;198,927674;174,782204
72;194,283137;169,702078
73;189,541818;164,552725
74;184,707913;159,341662
75;179,786208;154,077066
76;174,782204;148,767735
77;169,702078;143,423124
78;164,552725;138,053206
79;159,341662;132,668444
80;154,077066;127,279561
81;148,767735;121,897577
82;143,423124;116,533716
83;138,053206;111,199165
84;132,668444;105,904739
85;127,279561;100,661169
86;121,897577;95,47833
87;116,533716;90,365266
88;111,199165;85,329825
89;105,904739;80,378652
90;100,661169;75,516659
