Edad  ;Hombres  ;Mujeres  
55;0,369543;0,311687
56;0,381199;0,322235
57;0,393132;0,333081
58;0,405334;0,344225
59;0,417797;0,355667
60;0,430511;0,367403
61;0,443465;0,379431
62;0,456646;0,391747
63;0,470038;0,404345
64;0,483532;0,417217
65;0,497111;0,430356
66;0,510762;0,443751
67;0,524466;0,45739
68;0,538207;0,471261
69;0,551966;0,485348
70;0,565725;0,499635
71;0,579465;0,514104
72;0,593165;0,528734
73;0,606808;0,543503
74;0,620372;0,558388
75;0,633837;0,573365
76;0,647184;0,588406
77;0,660392;0,603484
78;0,673442;0,618571
79;0,686313;0,633634
80;0,698988;0,648645
81;0,711448;0,663572
82;0,723675;0,678385
83;0,735655;0,693051
84;0,74737;0,707542
85;0,758807;0,721827
86;0,769955;0,73588
87;0,780801;0,749677
88;0,791336;0,763196
89;0,801555;0,776422
90;0,811453;0,789343
