AÑO;IPC
1967;7,9
1968;6,46
1969;8,9
1970;7,06
1971;12,84
1972;13,53
1973;22,49
1974;25
1975;17,52
1976;25,6
1977;27,45
1978;19,75
1979;28,81
1980;25,96
1981;26,36
1982;24,03
1983;16,62
1984;18,28
1985;22,45
1986;20,95
1987;24,02
1988;28,12
1989;26,12
1990;32,36
1991;26,82
1992;25,13
1993;22,6
1994;22,59
1995;19,46
1996;21,63
1997;17,68
1998;16,7
1999;9,23
2000;8,75
2001;7,65
2002;6,99
2003;6,49
2004;5,5
2005;4,85
2006;4,48
2007;5,69
2008;7,67
2009;2
2010;3,17
2011;3,73
2012;2,44
2013;1,94
2014;3,66
2015;6,77
2016;5,75
2017;4,09
2018;3,18
2019;3,8
2020;1,61
2021;5,62
2022;13,12
2023;9,28
2024;5,2
2025;5,1
