Edad  ;Salario medio  
12;1,000000
13;1,006649
14;1,135599
15;1,206678
16;1,279752
17;1,354687
18;1,431251
19;1,509273
20;1,588504
21;1,668693
22;1,749612
23;1,830933
24;1,912388
25;1,993652
26;2,074416
27;2,154318
28;2,233031
29;2,310209
30;2,385489
31;2,458524
32;2,528971
33;2,596463
34;2,660676
35;2,721264
36;2,777921
37;2,830357
38;2,878287
39;2,941441
40;2,959570
41;2,992482
42;3,020004
43;3,041946
44;3,058210
45;3,068682
46;3,073323
47;3,072096
48;3,065019
49;3,052111
50;3,033468
51;3,009187
52;2,979401
53;2,944284
54;2,904026
55;2,858858
56;2,809030
57;2,754790
58;2,696446
59;2,634304
60;2,568691
61;2,499933
62;2,428355
63;2,354341
64;2,278237
65;2,200368
66;2,121119
67;2,040814
68;1,959800
69;1,878421
70;1,796985
71;1,715798
